Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
04-04-2013,5774234.0,5829,0.8449133642134157,991.0
04-04-2014,8492013.0,8877,0.8304607412414103,957.0
04-04-2015,16695990.0,10438,0.5112090438781376,1600.0
04-04-2016,6883975.0,7398,0.8687483103541498,931.0
04-04-2017,14781531.0,12666,0.7693825990841623,1167.0
04-04-2018,9497806.0,9909,0.8367140982944797,959.0
04-04-2019,15460188.0,13243,0.8408215661103979,1167.0
04-05-2011,2368324.0,2595,0.9028901734104047,913.0
04-05-2012,6231651.0,6214,0.8279691020276795,1003.0
04-05-2013,14092766.0,9472,0.6146537162162162,1488.0
04-05-2014,14355636.0,10512,0.6375570776255708,1366.0
04-05-2015,13481239.0,11992,0.7824382921947965,1124.0
04-05-2016,9215201.0,9625,0.8942337662337663,957.0
04-05-2017,11889979.0,11851,0.8147835625685597,1003.0
04-05-2018,17201196.0,14120,0.7135977337110482,1218.0
04-05-2019,15430871.0,11034,0.7572956316838861,1398.0
04-06-2011,9202367.0,5248,0.6448170731707317,1753.0
04-06-2012,7282618.0,6905,0.8450398262128892,1055.0
04-06-2013,10531050.0,9926,0.8134193028410236,1061.0
04-06-2014,9521362.0,10166,0.8515640369860319,937.0
04-06-2015,5323708.0,6360,0.8668238993710692,837.0
04-06-2016,17839870.0,11991,0.6425652572762905,1488.0
04-06-2017,20391295.0,12634,0.5402881114453063,1614.0
04-06-2018,17550420.0,14763,0.7516764885185938,1189.0
04-06-2019,14483050.0,13610,0.8800146950771491,1064.0
04-07-2011,12296473.0,5975,0.48786610878661085,2058.0
04-07-2012,10692813.0,7314,0.6498496035001368,1462.0
04-07-2013,18369337.0,10742,0.5138707875628374,1710.0
04-07-2014,20005481.0,11897,0.4959233420189964,1682.0
04-07-2015,18254039.0,10288,0.4406104199066874,1774.0
04-07-2016,14000955.0,7600,0.5121052631578947,1842.0
04-07-2017,28893515.0,15403,0.4408881386742842,1876.0
04-07-2018,27786818.0,14685,0.5692202928157984,1892.0
04-07-2019,17215094.0,10334,0.7227598219469712,1666.0
04-08-2011,4907544.0,4529,0.8235813645396335,1084.0
04-08-2012,9287300.0,6737,0.6519222205729553,1379.0
04-08-2013,15706522.0,10397,0.5847840723285563,1511.0
04-08-2014,12473788.0,10887,0.7300450078074768,1146.0
04-08-2015,11610175.0,11626,0.8097367968346809,999.0
04-08-2016,15251000.0,13555,0.76709701217263,1125.0
04-08-2017,16614117.0,14288,0.6978583426651735,1163.0
04-08-2018,26665241.0,15011,0.6006928252614749,1776.0
04-08-2019,15801064.0,11338,0.7787969659551949,1394.0
04-09-2011,10579841.0,4901,0.4854111405835544,2159.0
04-09-2012,5943104.0,6787,0.8722557831147782,876.0
04-09-2013,8531885.0,9734,0.8426135196219438,877.0
04-09-2014,9527659.0,10830,0.8558633425669436,880.0
04-09-2015,10764212.0,11050,0.8020814479638009,974.0
04-09-2016,24726004.0,12790,0.4295543393275997,1933.0
04-09-2017,21788100.0,13580,0.5262886597938145,1604.0
04-09-2018,10183952.0,10925,0.8763386727688787,932.0
04-09-2019,10780695.0,11745,0.9259259259259259,918.0
04-10-2010,377844.0,326,0.8220858895705522,1159.0
